Linienname,Überschrift,Betriebszweig,DIVA-Name,Globale ID,Unnamed: 5
S1,Kirchheim (T) - Plochingen - Stuttgart - Herrenberg,10,10001_,de:vvs:10001_:,
S1,Kirchheim (T) - Plochingen - Stuttgart - Herrenberg,10,10001_,de:vvs:10001_:,
S2,Schorndorf - Stuttgart - Flughafen/Messe - Filderstadt,10,10002_,de:vvs:10002_:,
S2,Schorndorf - Stuttgart - Flughafen/Messe - Filderstadt,10,10002_,de:vvs:10002_:,
S3,Backnang - Vaihingen (- Flughafen/Messe),10,10003_,de:vvs:10003_:,
S3,Backnang - Vaihingen (- Flughafen/Messe),10,10003_,de:vvs:10003_:,
S4,Backnang - Marbach - Stuttgart,10,10004_,de:vvs:10004_:,
S4,Backnang - Marbach - Stuttgart,10,10004_,de:vvs:10004_:,
S4,Backnang - Marbach - Stuttgart,10,10004_,de:vvs:10004_:,
S5,Bietigheim-Bissingen - Stuttgart,10,10005_,de:vvs:10005_:,
S5,Bietigheim-Bissingen - Stuttgart,10,10005_,de:vvs:10005_:,
S5,Bietigheim-Bissingen - Stuttgart,10,10005_,de:vvs:10005_:,
S6,Weil der Stadt - Leonberg - Stuttgart,10,10006_,de:vvs:10006_:,
S6,Weil der Stadt - Leonberg - Stuttgart,10,10006_,de:vvs:10006_:,
S6,Weil der Stadt - Leonberg - Stuttgart,10,10006_,de:vvs:10006_:,
S60,Böblingen - Renningen (- Stuttgart),10,10060_,de:vvs:10060_:,
S60,Böblingen - Renningen (- Stuttgart),10,10060_,de:vvs:10060_:,
S62,Weil der Stadt - Leonberg - Stuttgart,10,10062_,de:vvs:10062_:,
RE1,Aalen - Stuttgart - Vaihingen (E) - Karlsruhe,11,11001_,de:nvbw:90T01_:,
RE1,Karlsruhe - Vaihingen (E) - Stuttgart - Aalen,11,11001_,de:nvbw:90T01_:,
RE4,Stuttgart - Horb - Konstanz,11,11004_,de:nvbw:90T04_:,
RE5,Stuttgart - Ulm - Friedrichshafen,11,11005_,de:nvbw:90T05_:,
RE6,Tübingen - Plochingen - Stuttgart,11,11006_,de:nvbw:90T06S:,
RE8,Würzburg - Heilbronn - Bietigheim-Bissingen - Stuttgart,11,11008_,de:vvs:11008_:,
RE8,Würzburg - Heilbronn - Bietigheim-Bissingen - Stuttgart,11,11008_,de:vvs:11008_:,
RE8,Würzburg - Heilbronn - Bietigheim-Bissingen - Stuttgart,11,11008_,de:vvs:11008_:,
RB11,Kornwestheim - Untertürkheim,11,11011_,de:vvs:11011_:,
RB11,Kornwestheim - Untertürkheim,11,11011_,de:vvs:11011_:,
MEX12,Heilbronn - Stuttgart - Tübingen,11,11012_,de:nvbw:90T12_:,
MEX12,Heilbronn - Stuttgart - Tübingen,11,11012_,de:nvbw:90T12_:,
MEX12,Heilbronn - Stuttgart - Tübingen,11,11012_,de:nvbw:90T12_:,
MEX13,Stuttgart - Schorndorf - Aalen - Crailsheim,11,11013_,de:nvbw:90T13_:,
RE14,Stuttgart - Herrenberg - Horb/Freudenstadt,11,11014_,de:nvbw:90T14A:,
RE14,Stuttgart - Herrenberg - Horb/Freudenstadt,11,11014_,de:nvbw:90T14A:,
MEX16,Stuttgart - Plochingen - Göppingen - Ulm,11,11016_,de:nvbw:90T16_:,
MEX16,Stuttgart - Plochingen - Göppingen - Ulm,11,11016_,de:nvbw:90T16_:,
MEX17,"Stuttgart - Vaihingen (E) - Mühlacker -
Pforzheim/Bruchsal",11,11017_,de:nvbw:90T17A:,
MEX18,Osterburken - Heilbronn - Stuttgart - Tübingen,11,11018_,de:nvbw:90T18_:,
MEX18,Osterburken - Heilbronn - Stuttgart - Tübingen,11,11018_,de:nvbw:90T18_:,
MEX18,Osterburken - Heilbronn - Stuttgart - Tübingen,11,11018_,de:nvbw:90T18_:,
MEX19,Stuttgart - Backnang - Crailsheim,11,11019_,de:nvbw:90T19_:,
RE40,Herrenberg - Freudenstadt,11,11040_,de:nvbw:90T40_:,
RB41,Freudenstadt - Herrenberg,11,11041_,de:nvbw:90T41_:,
RB63,Herrenberg - Tübingen - Bad Urach,11,11063_,de:nvbw:90T63_:,
RB63,Herrenberg - Tübingen - Bad Urach,11,11063_,de:nvbw:90T63_:,
RB76,Calw - Weil der Stadt - Renningen (Hermann-Hesse-Bahn),11,11076_,de:vvs:11076_:,
RB76,Calw - Weil der Stadt - Renningen (Hermann-Hesse-Bahn),11,11076_,de:vvs:11076_:,
RE90,(Nürnberg -) Crailsheim - Backnang - Stuttgart,11,11090_,de:vvs:11090_:,
MEX90,Crailsheim - Backnang - Stuttgart,11,11091_,de:nvbw:90T90D:,
RE200,Wendlingen - Merklingen - Ulm,11,11200_,de:nvbw:90T200:,
SVG,Stuttgart - Horb - Konstanz,11,11SVG_,de:vvs:11SVG_:,
RB46,"Dettenhausen - Holzgerlingen - Böblingen
(Schönbuchbahn)",12,12046_,de:vvs:12046_:,
RB46,"Dettenhausen - Holzgerlingen - Böblingen
(Schönbuchbahn)",12,12046_,de:vvs:12046_:,
RB47,"Heimerdingen - Hemmingen - Korntal
(Strohgäubahn)",12,12047_,de:vvs:12047_:,
RB61,"Rudersberg - Schorndorf
(Wieslauftalbahn)",12,12061_,de:vvs:12061_:,
RB65,Neuffen - Nürtingen (Tälesbahn),12,12065_,de:vvs:12065_:,
RB64,Oberlenningen - Kirchheim (T),13,13064_,de:vvs:13064_:,
